username,password,userResponses
ET.Citizen67@testmail.com,Adventure2023,
ET.Citizen68@testmail.com,Adventure2023,
ET.Citizen69@testmail.com,Adventure2023,
ET.Citizen70@testmail.com,Adventure2023,
ET.Citizen71@testmail.com,Adventure2023,
ET.Citizen72@testmail.com,Adventure2023,
ET.Citizen73@testmail.com,Adventure2023,
ET.Citizen74@testmail.com,Adventure2023,
ET.Citizen75@testmail.com,Adventure2023,
ET.Citizen76@testmail.com,Adventure2023,
ET.Citizen77@testmail.com,Adventure2023,
ET.Citizen78@testmail.com,Adventure2023,
ET.Citizen79@testmail.com,Adventure2023,
ET.Citizen80@testmail.com,Adventure2023,
ET.Citizen81@testmail.com,Adventure2023,
ET.Citizen82@testmail.com,Adventure2023,
ET.Citizen83@testmail.com,Adventure2023,
